"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"197","Hyoran (MEI)","Palmeiras","4,69",10,"3,21","0,00","0,00",4,1,5,0,9,3,2,0,0,0,0,0,2,0,0,16,1,12
"198","Valdo (ZAG)","Ceará","7,22",10,"3,20","0,00","0,00",11,0,0,3,4,3,0,0,0,0,0,0,0,0,0,5,0,5
"199","Pedro Botelho (LAT)","Vitória","6,26",5,"3,20","0,00","0,00",8,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,15
"200","Raul Prata (LAT)","Sport","8,72",11,"3,15","1,00","0,22",24,0,0,3,14,2,1,0,0,0,0,1,1,0,0,13,0,42
"201","Jorginho (TEC)","Vasco","6,37",7,"3,14","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","Renatinho (MEI)","Botafogo","4,76",7,"3,13","0,70","-0,49",13,0,0,0,6,3,4,0,0,0,0,0,1,0,0,5,0,11
"203","Victor (GOL)","Atlético-MG","13,63",15,"3,12","23,50","4,89",0,0,0,3,2,0,0,0,26,0,0,0,0,0,22,0,0,11
"204","Ramon (ZAG)","Vitória","5,37",11,"3,12","10,30","1,87",11,1,0,3,10,3,2,0,0,0,0,0,2,0,0,16,0,10
"205","Bruno Silva (ATA)","Chapecoense","2,77",10,"3,11","1,70","-0,47",15,1,0,0,8,2,3,0,0,0,0,0,0,0,0,8,0,15
"206","Rodrigo Dourado (MEI)","Internacional","9,94",13,"3,10","0,00","0,00",45,0,0,0,15,1,2,0,0,0,0,0,6,0,0,40,1,18
"207","Richardson (MEI)","Ceará","7,06",10,"3,10","0,00","0,00",22,0,0,0,27,2,3,0,0,0,0,0,3,0,0,18,0,19
"208","Iago Maidana (ZAG)","Atlético-MG","3,67",1,"3,10","3,10","-0,33",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3
"209","Fabiano (LAT)","Internacional","7,87",7,"3,09","0,00","0,00",11,0,0,3,1,3,0,0,0,0,0,0,2,0,0,5,0,21
