"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"212","Clayson (ATA)","Corinthians","8,68",1,"3,60","3,60","-0,32",3,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4
"213","Leonardo Valencia (MEI)","Botafogo","6,61",1,"3,60","3,60","0,61",NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"214","Arthur (ATA)","Ceará","5,92",1,"3,60","3,60","0,92",2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"215","Eduardo Sasha (ATA)","Santos","9,37",1,"3,60","3,60","-0,63",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3
"216","Léo (LAT)","Bahia","5,86",1,"3,50","3,50","0,86",2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"217","Pablo Dyego (ATA)","Fluminense","3,65",1,"3,30","3,30","1,65",1,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4
"218","Alison (MEI)","Santos","7,78",1,"3,30","3,30","-0,22",2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"219","Paulão (ZAG)","Vasco","5,65",1,"3,20","3,20","0,65",2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"220","Rodinei (LAT)","Flamengo","6,96",1,"3,10","3,10","-0,04",2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"221","Gatito Fernández (GOL)","Botafogo","11,78",1,"3,10","3,10","-2,22",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,3
"222","Jailson (GOL)","Palmeiras","11,78",1,"3,10","3,10","-2,22",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,3
"223","Ralf (MEI)","Corinthians","8,96",1,"3,00","3,00","-1,04",2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"224","Valdo (ZAG)","Ceará","5,51",1,"3,00","3,00","0,51",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Valdívia (MEI)","São Paulo","8,96",1,"3,00","3,00","-1,04",2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"226","Ribamar (ATA)","Atlético-PR","6,13",1,"2,90","2,90","0,13",NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"227","Elton (MEI)","Bahia","6,13",1,"2,90","2,90","0,13",3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2
"228","Ramiro (MEI)","Grêmio","8,20",1,"2,90","2,90","-0,80",4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,2
"229","Pedro Botelho (LAT)","Vitória","5,44",1,"2,90","2,90","0,44",2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"230","Henrique (ZAG)","Corinthians","8,82",1,"2,80","2,80","-1,18",1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Willian (ATA)","Palmeiras","8,82",1,"2,80","2,80","-1,18",NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1
"232","Henrique (LAT)","Vasco","6,75",1,"2,80","2,80","-0,25",3,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,3
"233","Dedé (ZAG)","Cruzeiro","5,99",1,"2,70","2,70","-0,01",3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1
"234","Ibañez (ZAG)","Fluminense","5,99",1,"2,70","2,70","-0,01",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"235","Luiz Otávio (ZAG)","Ceará","5,99",1,"2,70","2,70","-0,01",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"236","Juninho (MEI)","América-MG","4,55",1,"2,60","2,60","0,55",2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3
"237","Léo (ZAG)","Cruzeiro","6,54",1,"2,50","2,50","-0,46",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"238","Leandro Vilela (MEI)","Paraná","4,48",1,"2,50","2,50","0,48",3,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,1
"239","Evander (MEI)","Vasco","7,92",1,"2,50","2,50","-1,08",2,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,3
"240","Mano Menezes (TEC)","Cruzeiro","10,67",1,"2,49","2,49","-2,33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Guto Ferreira (TEC)","Bahia","6,53",1,"2,48","2,48","-0,47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Rodrigo Lindoso (MEI)","Botafogo","6,48",1,"2,40","2,40","-0,52",NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"243","Carlos Eduardo (MEI)","Paraná","5,10",1,"2,40","2,40","0,10",1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"244","Renê (LAT)","Flamengo","5,03",1,"2,30","2,30","0,03",2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"245","Cícero (MEI)","Grêmio","7,10",1,"2,30","2,30","-0,90",1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"246","Vagner Mancini (TEC)","Vitória","7,07",1,"2,26","2,26","-0,93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Vinicius (ATA)","Chapecoense","4,27",1,"2,20","2,20","0,27",1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2
"248","Mancuello (MEI)","Cruzeiro","4,96",1,"2,20","2,20","-0,04",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"249","D'Alessandro (MEI)","Internacional","10,47",1,"2,20","2,20","-2,53",NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"250","Jeferson (LAT)","Vitória","4,96",1,"2,20","2,20","-0,04",1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"251","Desábato (MEI)","Vasco","6,27",1,"2,10","2,10","-0,73",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"252","Douglas (ZAG)","Chapecoense","4,82",1,"2,00","2,00","-0,18",2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"253","Éverson (GOL)","Ceará","6,20",1,"2,00","2,00","-0,80",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA
"254","Jailson (MEI)","Grêmio","5,51",1,"2,00","2,00","-0,49",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Eduardo (LAT)","Chapecoense","4,82",1,"2,00","2,00","-0,18",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Léo Itaperuna (ATA)","Paraná","3,44",1,"2,00","2,00","0,44",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Pavez (MEI)","Atlético-PR","6,13",1,"1,90","1,90","-0,87",1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"258","Ariel Cabral (MEI)","Cruzeiro","6,13",1,"1,90","1,90","-0,87",3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,2
"259","Dudu (ATA)","Palmeiras","18,53",1,"1,90","1,90","-6,47",1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,7
"260","Kannemann (ZAG)","Grêmio","10,95",1,"1,90","1,90","-3,05",2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,2
