"","Nome","Posição","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"46","Yago","MEI","Vitória","10,68",1,"7,50","7,50","2,68",2,1,0,0,3,1,0,0,0,0,0,0,1,0,0,4,0,6
"47","Wellington Paulista","ATA","Chapecoense","11,23",1,"7,30","7,30","2,23",2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,5,1,1
"48","Renato Gaúcho","TEC","Grêmio","15,36",1,"7,29","7,29","0,36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Nino Paraíba","LAT","Bahia","9,09",1,"7,20","7,20","3,09",4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2
"50","Balbuena","ZAG","Corinthians","17,36",1,"7,20","7,20","-0,64",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"51","Sornoza","MEI","Fluminense","8,40",1,"7,20","7,20","3,40",4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4
"52","Raul Prata","LAT","Sport","9,02",1,"7,10","7,10","3,02",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
"53","Jadson","MEI","Fluminense","8,89",1,"6,90","6,90","2,89",5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,3
"54","Henrique","MEI","Cruzeiro","11,57",1,"6,80","6,80","1,57",3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1
"55","Fernando Diniz","TEC","Atlético-PR","8,80",1,"6,77","6,77","2,80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Zé Rafael ","MEI","Bahia","17,02",1,"6,70","6,70","-0,98",2,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1
"57","Anselmo","MEI","Sport","10,13",1,"6,70","6,70","2,13",4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,2
"58","Emerson Sheik","ATA","Corinthians","9,99",1,"6,50","6,50","1,99",0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Bressan","ZAG","Grêmio","7,23",1,"6,50","6,50","3,23",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","David Braz","ZAG","Santos","12,75",1,"6,50","6,50","0,75",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","Léo Cittadini","MEI","Santos","7,92",1,"6,50","6,50","2,92",4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2
"62","Jair Ventura","TEC","Santos","12,02",1,"6,45","6,45","1,02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","Vinicius Junior","ATA","Flamengo","11,30",1,"6,40","6,40","1,30",0,0,1,0,3,2,1,0,0,0,0,0,0,0,0,1,0,8
"64","Fabiano","LAT","Internacional","7,85",1,"6,40","6,40","2,85",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"65","Rhayner","ATA","Vitória","7,85",1,"6,40","6,40","2,85",0,0,1,0,1,3,0,1,0,0,0,0,1,0,0,2,0,5
"66","Jonathan","LAT","Atlético-PR","9,78",1,"6,20","6,20","1,78",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"67","Éder Militão","LAT","São Paulo","9,78",1,"6,20","6,20","1,78",2,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1
"68","Daniel Guedes ","LAT","Santos","9,09",1,"6,20","6,20","2,09",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"69","Rafael Lima","ZAG","América-MG","8,40",1,"6,20","6,20","2,40",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"70","André","ATA","Grêmio","12,47",1,"6,10","6,10","0,47",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4,3,4
"71","Pedro","ATA","Fluminense","8,27",1,"6,00","6,00","2,27",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0
"72","Ángel Romero","ATA","Corinthians","10,20",1,"5,80","5,80","1,20",1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,6
"73","Gabriel","ATA","Santos","15,02",1,"5,80","5,80","-0,98",1,0,0,0,1,6,1,0,0,0,0,0,0,0,0,1,1,4
"74","Sidão","GOL","São Paulo","10,82",1,"5,70","5,70","0,82",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"75","Cueva","MEI","São Paulo","13,57",1,"5,70","5,70","-0,43",1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,6
"76","Thiago Galhardo","MEI","Vasco","7,37",1,"5,70","5,70","2,37",0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2
"77","Geuvânio","ATA","Flamengo","6,54",1,"5,50","5,50","2,54",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"78","Leandro Carvalho","ATA","Botafogo","5,86",1,"5,50","5,50","2,86",2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1
"79","Jean Mota","MEI","Santos","8,61",1,"5,50","5,50","1,61",3,0,0,0,1,3,1,0,0,0,0,0,0,0,0,2,0,7
"80","Diego Aguirre","TEC","São Paulo","9,28",1,"5,46","5,46","1,28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","Marcos Guilherme ","ATA","São Paulo","11,99",1,"5,40","5,40","-0,01",3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,3
"82","Bruno Guimarães","MEI","Atlético-PR","5,65",1,"5,20","5,20","2,65",2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1
"83","Cuéllar","MEI","Flamengo","9,09",1,"5,20","5,20","1,09",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"84","Marcelo Lomba","GOL","Internacional","7,72",1,"5,20","5,20","1,72",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"85","Aylon","ATA","América-MG","7,65",1,"5,10","5,10","1,65",2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0
"86","Cazares","MEI","Atlético-MG","11,09",1,"5,10","5,10","0,09",2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,2
"87","Paulo Miranda","ZAG","Grêmio","6,96",1,"5,10","5,10","1,96",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,3
"88","Rafael Moura","ATA","América-MG","10,40",1,"5,10","5,10","0,40",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4
"89","Raphael Veiga","MEI","Atlético-PR","7,58",1,"5,00","5,00","1,58",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","Júnior Tavares","LAT","São Paulo","7,58",1,"5,00","5,00","1,58",1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0
"91","Gustavo Bochecha","MEI","Botafogo","4,06",1,"4,90","4,90","3,06",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"92","Hudson","MEI","São Paulo","8,82",1,"4,80","4,80","0,82",4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,3
"93","Camacho","MEI","Atlético-PR","7,37",1,"4,70","4,70","1,37",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"94","Canteros","MEI","Chapecoense","8,06",1,"4,70","4,70","1,06",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"95","Zé Ricardo","TEC","Vasco","10,07",1,"4,62","4,62","0,07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","Richard","GOL","Paraná","6,54",1,"4,50","4,50","1,54",0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
"97","Régis","LAT","São Paulo","5,79",1,"4,40","4,40","1,79",2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2
"98","Gregore","MEI","Bahia","5,03",1,"4,30","4,30","2,03",3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0
"99","Ayrton Lucas","LAT","Fluminense","7,78",1,"4,30","4,30","0,78",1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0
"100","Fábio Carille","TEC","Corinthians","12,53",1,"4,19","4,19","-1,47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","Alberto Valentim","TEC","Botafogo","7,70",1,"4,18","4,18","0,70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","Thiago Larghi","TEC","Atlético-MG","6,30",1,"4,15","4,15","1,30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","Victor","GOL","Atlético-MG","12,47",1,"4,10","4,10","-1,53",0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,3
"104","Rodrigo Caio","ZAG","São Paulo","11,09",1,"4,10","4,10","-0,91",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3
"105","Werley","ZAG","Vasco","5,58",1,"4,10","4,10","1,58",2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
"106","Martín Silva","GOL","Vasco","12,40",1,"4,00","4,00","-1,60",0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
"107","Ferreira","MEI","Sport","4,75",1,"3,90","3,90","1,75",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"108","Maurício Barbieri","TEC","Flamengo","9,50",1,"3,79","3,79","-0,50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","Gilson","LAT","Botafogo","5,30",1,"3,70","3,70","1,30",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,6
"110","Abel Braga","TEC","Fluminense","10,06",1,"3,61","3,61","-0,94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","Lucas Fernandes","MEI","São Paulo","5,24",1,"3,60","3,60","1,24",1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1
"112","Clayson","ATA","Corinthians","8,68",1,"3,60","3,60","-0,32",3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,4
"113","Leonardo Valencia","MEI","Botafogo","6,61",1,"3,60","3,60","0,61",0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,2
"114","Arthur","ATA","Ceará","5,92",1,"3,60","3,60","0,92",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"115","Eduardo Sasha","ATA","Santos","9,37",1,"3,60","3,60","-0,63",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3
"116","Léo","LAT","Bahia","5,86",1,"3,50","3,50","0,86",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
"117","Pablo Dyego","ATA","Fluminense","3,65",1,"3,30","3,30","1,65",1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,4
"118","Alison","MEI","Santos","7,78",1,"3,30","3,30","-0,22",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"119","Paulão","ZAG","Vasco","5,65",1,"3,20","3,20","0,65",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1
"120","Rodinei","LAT","Flamengo","6,96",1,"3,10","3,10","-0,04",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
"121","Gatito Fernández","GOL","Botafogo","11,78",1,"3,10","3,10","-2,22",0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3
"122","Jailson","GOL","Palmeiras","11,78",1,"3,10","3,10","-2,22",0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3
"123","Ralf","MEI","Corinthians","8,96",1,"3,00","3,00","-1,04",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"124","Valdo","ZAG","Ceará","5,51",1,"3,00","3,00","0,51",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","Valdívia","MEI","São Paulo","8,96",1,"3,00","3,00","-1,04",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
"126","Ribamar","ATA","Atlético-PR","6,13",1,"2,90","2,90","0,13",0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,1,1
"127","Elton","MEI","Bahia","6,13",1,"2,90","2,90","0,13",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2
"128","Ramiro","MEI","Grêmio","8,20",1,"2,90","2,90","-0,80",4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,2
"129","Pedro Botelho","LAT","Vitória","5,44",1,"2,90","2,90","0,44",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
"130","Henrique","ZAG","Corinthians","8,82",1,"2,80","2,80","-1,18",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"131","Willian","ATA","Palmeiras","8,82",1,"2,80","2,80","-1,18",0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,1
"132","Henrique","LAT","Vasco","6,75",1,"2,80","2,80","-0,25",3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,3
"133","Dedé","ZAG","Cruzeiro","5,99",1,"2,70","2,70","-0,01",3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1
"134","Ibañez","ZAG","Fluminense","5,99",1,"2,70","2,70","-0,01",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"135","Luiz Otávio","ZAG","Ceará","5,99",1,"2,70","2,70","-0,01",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"136","Juninho","MEI","América-MG","4,55",1,"2,60","2,60","0,55",2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,3
"137","Léo","ZAG","Cruzeiro","6,54",1,"2,50","2,50","-0,46",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"138","Leandro Vilela","MEI","Paraná","4,48",1,"2,50","2,50","0,48",3,0,0,0,2,1,0,0,0,0,0,0,1,0,0,3,0,1
"139","Evander","MEI","Vasco","7,92",1,"2,50","2,50","-1,08",2,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,3
"140","Mano Menezes","TEC","Cruzeiro","10,67",1,"2,49","2,49","-2,33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","Guto Ferreira","TEC","Bahia","6,53",1,"2,48","2,48","-0,47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","Rodrigo Lindoso","MEI","Botafogo","6,48",1,"2,40","2,40","-0,52",0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,4
"143","Carlos Eduardo","MEI","Paraná","5,10",1,"2,40","2,40","0,10",1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3
"144","Renê","LAT","Flamengo","5,03",1,"2,30","2,30","0,03",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
"145","Cícero","MEI","Grêmio","7,10",1,"2,30","2,30","-0,90",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
"146","Vagner Mancini","TEC","Vitória","7,07",1,"2,26","2,26","-0,93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","Vinicius","ATA","Chapecoense","4,27",1,"2,20","2,20","0,27",1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2
"148","Mancuello","MEI","Cruzeiro","4,96",1,"2,20","2,20","-0,04",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"149","D'Alessandro","MEI","Internacional","10,47",1,"2,20","2,20","-2,53",0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3
"150","Jeferson","LAT","Vitória","4,96",1,"2,20","2,20","-0,04",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0
"151","Desábato","MEI","Vasco","6,27",1,"2,10","2,10","-0,73",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"152","Douglas","ZAG","Chapecoense","4,82",1,"2,00","2,00","-0,18",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
"153","Éverson","GOL","Ceará","6,20",1,"2,00","2,00","-0,80",0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
"154","Jailson","MEI","Grêmio","5,51",1,"2,00","2,00","-0,49",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","Eduardo","LAT","Chapecoense","4,82",1,"2,00","2,00","-0,18",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","Léo Itaperuna","ATA","Paraná","3,44",1,"2,00","2,00","0,44",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","Pavez","MEI","Atlético-PR","6,13",1,"1,90","1,90","-0,87",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
"158","Ariel Cabral","MEI","Cruzeiro","6,13",1,"1,90","1,90","-0,87",3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,2
"159","Dudu","ATA","Palmeiras","18,53",1,"1,90","1,90","-6,47",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,7
"160","Kannemann","ZAG","Grêmio","10,95",1,"1,90","1,90","-3,05",2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,2
"161","Reina","MEI","Ceará","3,38",1,"1,90","1,90","0,38",0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1
"162","Bruno Henrique","MEI","Palmeiras","7,51",1,"1,90","1,90","-1,49",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2
"163","Sander","LAT","Sport","6,82",1,"1,90","1,90","-1,18",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
"164","Arthur ","ATA","Chapecoense","6,75",1,"1,80","1,80","-1,25",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
"165","Willian Farias","MEI","Vitória","4,68",1,"1,80","1,80","-0,32",0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"166","Rafael Galhardo","LAT","Vasco","4,00",1,"1,80","1,80","0,00",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"167","Thiago Neves","MEI","Cruzeiro","17,71",1,"1,70","1,70","-6,29",0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4
"168","Antônio Carlos ","ZAG","Palmeiras","7,37",1,"1,70","1,70","-1,63",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"169","Keno","ATA","Palmeiras","8,06",1,"1,70","1,70","-1,94",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,6
"170","Joel Carli","ZAG","Botafogo","6,61",1,"1,60","1,60","-1,39",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"171","Andrigo","MEI","Sport","6,61",1,"1,60","1,60","-1,39",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,3
"172","Silvinho","ATA","Paraná","3,86",1,"1,60","1,60","-0,14",1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,2
"173","Marlone","MEI","Sport","7,30",1,"1,60","1,60","-1,70",0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,1,1,1
"174","Gilson Kleina","TEC","Chapecoense","5,22",1,"1,58","1,58","-0,78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","Apodi","LAT","Chapecoense","5,86",1,"1,50","1,50","-1,14",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
"176","Rafael Sobis","ATA","Cruzeiro","6,54",1,"1,50","1,50","-1,46",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"177","Sidcley","LAT","Corinthians","6,54",1,"1,50","1,50","-1,46",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"178","Marco Antônio","MEI","Bahia","1,72",1,"1,50","1,50","0,72",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","Michel","MEI","Grêmio","5,17",1,"1,50","1,50","-0,83",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","Jesiel","ZAG","Paraná","3,10",1,"1,50","1,50","0,10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181","Diego","ATA","Paraná","4,48",1,"1,50","1,50","-0,52",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"182","Rogério Micale","TEC","Paraná","3,78",1,"1,49","1,49","-0,22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","Roger Machado ","TEC","Palmeiras","9,96",1,"1,45","1,45","-3,04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
