"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"412","Araos (MEI)","Corinthians","6,04",4,"2,30","-0,60","-1,00",9,0,0,0,2,0,1,0,0,0,0,0,0,0,0,7,0,10
"413","Raphael Veiga (MEI)","Atlético-PR","7,70",15,"2,29","0,00","0,00",4,2,3,0,16,4,9,0,0,0,0,0,5,0,0,13,0,27
"414","Manoel (ZAG)","Cruzeiro","4,37",5,"2,28","0,00","0,00",1,1,0,1,5,0,0,0,0,0,0,0,0,0,0,6,1,7
"415","Marcelo (MEI)","Botafogo","3,27",3,"2,27","0,00","0,00",3,0,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,1
"416","Arnaldo (LAT)","Ceará","5,49",7,"2,26","0,00","0,00",7,0,0,2,8,0,0,0,0,0,0,0,1,0,0,5,0,14
"417","Bruno Guimarães (MEI)","Atlético-PR","6,27",14,"2,26","0,00","0,00",20,0,0,0,38,2,0,0,0,0,0,0,3,0,0,16,0,16
"418","Jadson (MEI)","Fluminense","8,21",19,"2,25","2,50","0,58",32,0,1,0,27,6,5,0,0,0,0,0,3,0,0,24,1,53
"419","Alex Santana (MEI)","Paraná","3,60",11,"2,24","3,90","-0,73",7,1,0,0,12,8,5,0,0,0,0,0,3,0,0,8,0,8
"420","Jailson (MEI)","Grêmio","4,29",14,"2,24","-0,30","-0,57",24,1,0,0,9,0,2,0,0,0,0,0,2,0,0,17,0,23
"421","Guerra (MEI)","Palmeiras","7,89",4,"2,23","0,00","0,00",2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,5,0,7
"422","Rafael Marques (ATA)","Sport","3,64",16,"2,23","-0,30","-0,40",10,1,1,0,15,8,9,0,0,0,0,0,1,0,0,12,6,20
"423","Gustavo Scarpa (MEI)","Palmeiras","9,08",6,"2,23","0,00","0,00",7,0,0,0,8,8,2,0,0,0,0,0,1,0,0,5,0,18
"424","Raul (MEI)","Vasco","2,13",3,"2,23","3,00","0,21",3,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,2
"425","Vinícius (MEI)","Bahia","4,97",18,"2,21","-0,90","-0,87",12,2,1,0,8,18,10,0,0,0,0,0,2,1,0,11,3,49
"426","Denilson (ATA)","Atlético-MG","7,66",8,"2,21","0,00","-0,75",3,2,0,0,5,5,1,0,0,0,0,0,0,0,0,11,3,12
"427","Léo Cittadini (MEI)","Santos","7,97",12,"2,18","0,00","0,00",13,0,1,0,12,4,2,0,0,0,0,0,2,0,0,9,1,3
"428","Wellington (MEI)","Atlético-PR","3,54",8,"2,17","0,00","0,00",10,1,0,0,1,3,2,0,0,0,0,0,2,0,0,8,0,10
"429","Rossi (ATA)","Internacional","5,17",13,"2,17","7,90","1,33",8,1,2,0,14,2,3,1,0,0,0,0,2,1,0,9,0,15
"430","Giovanni Augusto (MEI)","Vasco","7,16",11,"2,17","0,00","0,00",14,0,2,0,15,7,4,0,0,0,0,0,1,1,0,14,0,40
"431","Moisés (MEI)","Palmeiras","5,58",16,"2,16","2,30","0,40",23,1,0,0,17,5,4,1,0,0,0,0,4,0,0,21,0,32
"432","Brenner (ATA)","Botafogo","5,75",10,"2,16","5,40","1,01",6,1,0,0,20,4,3,0,0,0,0,0,2,0,0,9,2,9
"433","Aylon (ATA)","América-MG","7,06",10,"2,16","0,00","0,00",7,0,1,0,14,9,5,1,0,0,0,0,2,0,0,14,5,12
"434","Matheus Alessandro (ATA)","Fluminense","3,83",13,"2,15","2,80","-0,13",10,0,1,0,25,8,4,0,0,0,0,0,4,0,0,7,3,9
"435","Douglas (MEI)","Corinthians","3,64",10,"2,14","2,30","0,06",15,0,1,0,6,6,2,0,0,0,0,0,2,0,0,15,0,16
"436","Caio Henrique (MEI)","Paraná","4,44",19,"2,14","0,40","0,03",19,0,3,0,13,9,3,0,0,0,0,0,1,0,0,12,2,37
"437","Frazan (ZAG)","Fluminense","3,74",4,"2,12","0,00","0,00",3,0,0,1,2,0,1,0,0,0,0,0,0,0,0,4,0,4
"438","Felipe Azevedo (ATA)","Ceará","4,94",16,"2,11","0,00","0,00",11,1,2,0,16,5,4,0,0,0,0,0,0,0,0,15,1,32
"439","Carpegiani (TEC)","Vitória","7,92",2,"2,11","1,63","-0,18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"440","Leandro Vilela (MEI)","Paraná","4,40",15,"2,11","1,40","0,49",33,0,0,0,22,8,1,0,0,0,0,0,5,0,0,30,0,38
"441","Lenon (LAT)","Vasco","3,18",2,"2,10","4,50","0,96",1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
"442","Derlis González (ATA)","Santos","7,66",2,"2,10","0,00","0,00",2,0,1,0,2,1,0,0,0,0,0,0,2,0,0,2,0,2
"443","Jandrei (GOL)","Chapecoense","4,80",19,"2,09","0,00","0,00",1,0,0,5,3,0,0,0,23,0,0,0,1,0,26,0,0,11
"444","Paulo Roberto (MEI)","Corinthians","2,83",5,"2,08","0,00","0,00",11,0,0,0,1,1,1,0,0,0,0,0,2,0,0,5,0,7
"445","Robinho (MEI)","Cruzeiro","5,60",17,"2,07","1,20","0,49",20,1,3,0,18,8,2,0,0,0,0,0,5,0,0,20,2,49
"446","Matheus Rossetto (MEI)","Atlético-PR","8,96",10,"2,06","0,00","0,00",15,1,0,0,4,3,0,0,0,0,0,0,1,0,0,10,2,21
"447","Mateus Vital (MEI)","Corinthians","5,00",18,"2,05","-0,30","-0,29",8,1,1,0,16,7,4,1,0,0,0,0,0,0,0,5,2,20
"448","Leandro Pereira (ATA)","Chapecoense","5,76",16,"2,04","0,00","0,00",12,2,0,0,19,9,6,1,0,0,0,1,2,0,0,24,9,9
"449","Everson (ZAG)","Bahia","3,22",5,"2,04","0,00","0,00",4,0,0,1,2,2,0,1,0,0,0,0,1,0,0,3,1,8
"450","Edenílson (MEI)","Internacional","7,84",16,"2,03","-1,50","-0,30",15,1,2,0,18,7,2,0,0,0,0,0,4,0,0,12,0,36
"451","Robinho (ATA)","América-MG","4,13",6,"2,03","0,00","0,00",4,0,1,0,2,4,1,1,0,0,0,0,1,0,0,4,1,9
"452","Henrique (LAT)","Vasco","6,41",13,"2,02","6,00","1,04",17,0,1,3,18,2,1,0,0,0,0,1,4,0,0,20,1,25
"453","Ezequiel (ATA)","Botafogo","4,51",8,"2,02","1,00","-0,18",4,0,1,0,8,3,1,0,0,0,0,0,0,0,0,3,0,3
"454","Kelvin (ATA)","Vasco","5,65",8,"2,01","0,00","0,00",1,1,2,0,5,1,0,0,0,0,0,0,1,0,0,4,0,9
"455","Luis Ricardo (LAT)","Botafogo","3,36",6,"2,00","0,00","0,00",5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,15
"456","Douglas Grolli (ZAG)","Bahia","3,33",3,"2,00","0,00","0,00",2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,5
"457","Marlon (LAT)","Fluminense","4,70",9,"2,00","0,00","0,00",16,0,0,2,4,4,1,0,0,0,0,0,3,0,0,12,1,33
"458","Jonatan Álvez (ATA)","Internacional","6,28",5,"2,00","0,00","0,00",1,2,0,0,5,3,1,0,0,0,0,0,3,0,0,9,2,7
"459","Araruna (MEI)","São Paulo","3,10",5,"2,00","0,00","0,00",7,0,1,0,8,1,0,0,0,0,0,1,0,0,0,4,0,11
"460","Caíque (ATA)","São Paulo","1,15",1,"2,00","0,00","0,00",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"461","Gustavo Bochecha (MEI)","Botafogo","3,50",7,"1,99","-1,20","-1,23",13,0,0,0,11,3,0,0,0,0,0,0,3,0,0,6,0,15
"462","Thiago Neves (MEI)","Cruzeiro","8,60",14,"1,98","-0,30","-1,88",8,1,0,0,13,9,13,0,0,0,0,0,1,0,0,8,7,40
"463","André (ATA)","Grêmio","7,68",15,"1,96","1,80","-0,41",9,3,0,0,25,11,5,0,0,0,0,0,3,0,0,32,11,27
"464","Guilherme (MEI)","Atlético-PR","7,99",11,"1,96","0,00","0,00",7,2,0,0,15,7,2,0,0,0,0,0,3,0,0,12,0,28
"465","Rodrigo Pimpão (ATA)","Botafogo","4,61",15,"1,95","3,70","0,52",18,1,0,0,16,7,4,0,0,0,0,0,5,0,0,11,0,29
"466","Wanderson (ZAG)","Atlético-PR","4,39",10,"1,95","0,00","0,00",11,0,0,4,1,2,0,0,0,0,0,0,2,0,0,16,1,22
"467","Wescley (MEI)","Ceará","4,23",9,"1,94","0,00","0,00",5,2,0,0,4,5,2,0,0,0,0,0,1,0,0,13,1,18
"468","Raphael Alemão (ATA)","Paraná","3,40",5,"1,94","0,50","-0,14",3,0,0,0,4,2,4,0,0,0,0,0,0,0,0,4,0,4
"469","Marcelo Hermes (LAT)","Cruzeiro","4,00",7,"1,93","0,00","0,00",13,0,0,1,6,4,0,0,0,0,0,0,2,0,0,9,0,29
"470","Léo Santos (ZAG)","Corinthians","1,72",5,"1,92","0,00","0,00",0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,3,0,2
"471","Henrique Dourado (ATA)","Flamengo","10,70",15,"1,91","4,50","-0,29",3,4,0,0,23,7,2,0,0,0,0,1,3,0,0,21,6,9
"472","Flávio (MEI)","Bahia","3,35",8,"1,91","0,00","0,00",12,0,0,0,6,1,1,0,0,0,0,0,2,0,0,5,0,4
"473","Michel Bastos (MEI)","Sport","4,03",11,"1,90","-0,80","-0,30",2,2,0,0,8,7,2,1,0,0,0,0,1,0,0,9,0,22
"474","Michel  (MEI)","Grêmio","4,70",2,"1,90","0,00","0,00",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
"475","Fabinho (MEI)","Ceará","3,35",9,"1,89","0,00","0,00",14,0,0,0,12,2,0,0,0,0,0,0,1,0,0,9,0,17
"476","Samuel Xavier (LAT)","Ceará","3,04",9,"1,88","0,00","0,00",9,0,1,2,19,1,0,1,0,0,0,1,3,0,0,16,1,18
"477","Rayan (ZAG)","Paraná","3,05",12,"1,88","0,00","0,00",18,0,0,1,12,5,1,0,0,0,0,0,4,0,0,16,2,12
"478","Bruno Henrique (ATA)","Santos","9,56",13,"1,88","0,00","0,00",11,1,1,0,18,12,2,0,0,0,1,0,2,0,0,21,3,17
"479","Shaylon (MEI)","São Paulo","3,00",6,"1,88","0,00","-1,12",0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,5,1,5
"480","Edílson (LAT)","Cruzeiro","6,89",9,"1,85","0,00","0,00",12,0,0,3,7,4,2,0,0,0,0,0,6,0,0,10,0,28
"481","Mateus Norton (MEI)","Fluminense","2,49",6,"1,85","0,70","-0,53",12,0,0,0,4,1,1,0,0,0,0,0,1,0,0,7,0,18
"482","Pedrinho (MEI)","Corinthians","3,32",17,"1,85","0,90","-0,33",11,0,1,0,27,12,10,0,0,0,0,0,1,0,0,14,2,50
"483","Ruy (MEI)","América-MG","4,04",13,"1,82","0,20","0,09",3,1,1,0,19,4,4,1,0,0,0,0,0,0,0,3,0,43
"484","Allione (MEI)","Bahia","4,31",8,"1,82","0,00","0,00",1,1,1,0,5,0,2,0,0,0,0,0,0,0,0,6,0,6
"485","Murilo (ZAG)","Cruzeiro","6,17",4,"1,82","-1,10","-0,21",6,0,0,1,0,0,1,0,0,0,0,0,1,0,0,7,0,8
"486","Ricardo (ZAG)","Vasco","4,55",11,"1,78","5,00","0,58",13,0,0,3,8,0,1,0,0,0,0,0,5,0,0,11,2,12
"487","Terans (MEI)","Atlético-MG","4,08",5,"1,76","0,00","0,00",4,0,1,0,4,3,1,0,0,0,0,0,1,0,0,8,0,6
"488","Thaciano (MEI)","Grêmio","2,48",9,"1,73","0,00","0,00",7,1,0,0,3,2,5,0,0,0,0,0,2,0,0,11,2,5
"489","Judivan  (ATA)","América-MG","2,55",9,"1,72","0,00","0,00",3,0,1,0,6,4,6,0,0,0,0,0,0,0,0,10,1,6
"490","Jesiel (ZAG)","Atlético-MG","3,27",8,"1,71","0,00","0,00",11,0,0,1,3,1,1,0,0,0,0,0,2,0,0,8,0,11
"491","Willian Arão (MEI)","Flamengo","3,68",7,"1,70","0,00","0,00",9,0,1,0,0,1,1,0,0,0,0,0,1,0,0,8,1,7
"492","Lucas Silva (MEI)","Cruzeiro","4,37",12,"1,70","0,00","-0,13",22,0,0,0,13,7,0,0,0,0,0,0,3,0,0,23,0,24
"493","Amaral (MEI)","Chapecoense","3,85",12,"1,70","0,00","0,00",19,0,0,0,5,2,3,0,0,0,0,0,1,0,0,19,1,13
"494","Miranda (ZAG)","Vasco","1,21",1,"1,70","0,00","0,00",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"495","Thiaguinho (MEI)","Corinthians","2,65",1,"1,70","0,00","0,00",2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,6
"496","Marcelo Benítez (LAT)","Vitória","3,37",2,"1,70","0,80","-0,27",5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,7
"497","Carlos (ATA)","Paraná","5,56",15,"1,69","0,00","0,00",13,1,0,0,19,9,6,0,0,0,0,0,4,0,0,16,11,15
"498","Nathan (MEI)","Atlético-MG","4,32",4,"1,68","0,70","-0,11",4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,13
"499","Marcos Vinícius (MEI)","Botafogo","3,80",4,"1,67","0,00","0,00",3,0,0,0,5,3,0,1,0,0,0,0,1,0,0,2,0,9
"500","Renato (MEI)","Santos","6,43",10,"1,66","0,00","0,00",7,1,0,0,9,2,2,0,0,0,0,0,1,0,0,4,2,18
"501","David (MEI)","América-MG","2,42",3,"0,67","1,20","0,14",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5
"502","Hygor (ATA)","Sport","0,91",5,"0,66","0,00","0,00",1,0,0,0,6,1,1,0,0,0,0,0,0,0,0,3,1,4
"503","Júnior Santos (ATA)","Chapecoense","0,88",2,"0,65","0,00","0,00",0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
"504","Juninho (ZAG)","Atlético-MG","4,07",4,"0,65","0,00","0,00",4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,8
"505","Arthur Gomes (ATA)","Santos","2,55",6,"0,65","0,00","0,00",1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,2,0,2
"506","Crysan (ATA)","Atlético-PR","3,21",1,"0,60","0,00","0,00",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"507","Rafael Galhardo (LAT)","Vasco","2,43",8,"0,59","0,00","0,00",5,0,0,0,7,5,2,0,0,0,0,0,1,0,0,6,1,24
"508","Bryan (LAT)","Vitória","5,36",5,"0,58","0,00","0,00",2,0,1,1,11,2,0,0,0,0,0,1,1,0,0,9,0,19
"509","Vecchio (MEI)","Santos","4,54",2,"0,55","0,00","0,00",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
"510","Felipe Alves (GOL)","Atlético-PR","1,80",2,"0,55","0,00","0,00",0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,3
